"","River","trap_location","trap_opened","trap_closed","Updated","spp_raw","cnt","spp","spp_id","river_id","trap_id","cnt_id"
"86","Kennebec","Lockwood Dam","May 1",NA,2020-07-12 20:00:00,"At.Salmon..MSW.",46,"Atlantic Salmon (MSW)",2,3,3,"3-2-3-2020-07-13"
"87","Narraguagus","Cherryfield","April 29",NA,2020-07-11 20:00:00,"At.Salmon..MSW.",84,"Atlantic Salmon (MSW)",2,4,4,"4-2-4-2020-07-12"
"88","Penobscot","Milford fish lift","April 22",NA,2020-07-12 20:00:00,"At.Salmon..MSW.",1383,"Atlantic Salmon (MSW)",2,5,5,"5-2-5-2020-07-13"
"89","Penobscot","Orono","April 22",NA,2020-07-12 20:00:00,"At.Salmon..MSW.",3,"Atlantic Salmon (MSW)",2,5,6,"5-2-6-2020-07-13"
"90","Penobscot","Weldon Dam","April 30",NA,2020-07-12 20:00:00,"At.Salmon..MSW.",0,"Atlantic Salmon (MSW)",2,5,7,"5-2-7-2020-07-13"
"91","Union","Ellsworth","May 1",NA,2020-07-12 20:00:00,"At.Salmon..MSW.",3,"Atlantic Salmon (MSW)",2,8,10,"8-2-10-2020-07-13"
"92","Androscoggin","Brunswick","June 1",NA,2020-07-12 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,1,1,"1-3-1-2020-07-13"
"93","Kennebec","Lockwood Dam","May 1",NA,2020-07-12 20:00:00,"At.Salmon..grilse.",4,"Atlantic Salmon (Grilse)",3,3,3,"3-3-3-2020-07-13"
"94","Narraguagus","Cherryfield","April 29",NA,2020-07-11 20:00:00,"At.Salmon..grilse.",13,"Atlantic Salmon (Grilse)",3,4,4,"4-3-4-2020-07-12"
"95","Penobscot","Orono","April 22",NA,2020-07-12 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,5,6,"5-3-6-2020-07-13"
"96","Penobscot","Weldon Dam","April 30",NA,2020-07-12 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,5,7,"5-3-7-2020-07-13"
"97","Union","Ellsworth","May 1",NA,2020-07-12 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,8,10,"8-3-10-2020-07-13"
"98","Androscoggin","Brunswick","June 1",NA,2020-07-12 20:00:00,"River.Herring",67,"River Herring",4,1,1,"1-4-1-2020-07-13"
"99","Kennebec","Lockwood Dam","May 1",NA,2020-07-12 20:00:00,"River.Herring",143259,"River Herring",4,3,3,"3-4-3-2020-07-13"
"100","Narraguagus","Cherryfield","April 29",NA,2020-07-11 20:00:00,"River.Herring",0,"River Herring",4,4,4,"4-4-4-2020-07-12"
"101","Penobscot","Milford fish lift","April 22",NA,2020-07-12 20:00:00,"River.Herring",1951005,"River Herring",4,5,5,"5-4-5-2020-07-13"
"102","Penobscot","Orono","April 22",NA,2020-07-12 20:00:00,"River.Herring",121787,"River Herring",4,5,6,"5-4-6-2020-07-13"
"103","Penobscot","Weldon Dam","April 30",NA,2020-07-12 20:00:00,"River.Herring",0,"River Herring",4,5,7,"5-4-7-2020-07-13"
"104","Union","Ellsworth","May 1",NA,2020-07-12 20:00:00,"River.Herring",526907,"River Herring",4,8,10,"8-4-10-2020-07-13"
"105","Androscoggin","Brunswick","June 1",NA,2020-07-12 20:00:00,"Striped.Bass",1,"Striped Bass",5,1,1,"1-5-1-2020-07-13"
