"","River","trap_location","trap_opened","trap_closed","Updated","spp_raw","cnt","spp","spp_id","river_id","trap_id","cnt_id"
"191","Union","Ellsworth","May 1",NA,2020-07-26 20:00:00,"At.Salmon..MSW.",3,"Atlantic Salmon (MSW)",2,8,10,"8-2-10-2020-07-27"
"192","Androscoggin","Brunswick","June 1",NA,2020-08-02 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,1,1,"1-3-1-2020-08-03"
"193","Aroostook","Tinker Dam","July 2",NA,2020-07-30 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,2,11,"2-3-11-2020-07-31"
"194","Kennebec","Benton Falls","May 1",NA,2020-07-22 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,3,2,"3-3-2-2020-07-23"
"195","Kennebec","Lockwood Dam","May 1",NA,2020-08-02 20:00:00,"At.Salmon..grilse.",4,"Atlantic Salmon (Grilse)",3,3,3,"3-3-3-2020-08-03"
"196","Narraguagus","Cherryfield","April 29",NA,2020-08-02 20:00:00,"At.Salmon..grilse.",13,"Atlantic Salmon (Grilse)",3,4,4,"4-3-4-2020-08-03"
"197","Penobscot","Orono","April 22",NA,2020-07-26 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,5,6,"5-3-6-2020-07-27"
"198","Penobscot","Weldon Dam","April 30",NA,2020-07-26 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,5,7,"5-3-7-2020-07-27"
"199","St. Croix","Milltown Dam","April 15",NA,2020-07-24 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,7,9,"7-3-9-2020-07-25"
"200","Union","Ellsworth","May 1",NA,2020-07-26 20:00:00,"At.Salmon..grilse.",0,"Atlantic Salmon (Grilse)",3,8,10,"8-3-10-2020-07-27"
"201","Androscoggin","Brunswick","June 1",NA,2020-08-02 20:00:00,"River.Herring",67,"River Herring",4,1,1,"1-4-1-2020-08-03"
"202","Aroostook","Tinker Dam","July 2",NA,2020-07-30 20:00:00,"River.Herring",0,"River Herring",4,2,11,"2-4-11-2020-07-31"
"203","Kennebec","Benton Falls","May 1",NA,2020-07-22 20:00:00,"River.Herring",2847095,"River Herring",4,3,2,"3-4-2-2020-07-23"
"204","Kennebec","Lockwood Dam","May 1",NA,2020-08-02 20:00:00,"River.Herring",143259,"River Herring",4,3,3,"3-4-3-2020-08-03"
"205","Narraguagus","Cherryfield","April 29",NA,2020-08-02 20:00:00,"River.Herring",0,"River Herring",4,4,4,"4-4-4-2020-08-03"
"206","Penobscot","Milford fish lift","April 22",NA,2020-07-26 20:00:00,"River.Herring",1952537,"River Herring",4,5,5,"5-4-5-2020-07-27"
"207","Penobscot","Orono","April 22",NA,2020-07-26 20:00:00,"River.Herring",121787,"River Herring",4,5,6,"5-4-6-2020-07-27"
"208","Penobscot","Weldon Dam","April 30",NA,2020-07-26 20:00:00,"River.Herring",0,"River Herring",4,5,7,"5-4-7-2020-07-27"
"209","St. Croix","Milltown Dam","April 15",NA,2020-07-24 20:00:00,"River.Herring",611889,"River Herring",4,7,9,"7-4-9-2020-07-25"
"210","Union","Ellsworth","May 1",NA,2020-07-26 20:00:00,"River.Herring",526907,"River Herring",4,8,10,"8-4-10-2020-07-27"
"211","Androscoggin","Brunswick","June 1",NA,2020-08-02 20:00:00,"Striped.Bass",1,"Striped Bass",5,1,1,"1-5-1-2020-08-03"
